TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
d000251,29,여,20,5,2,1,2,,2,1,5,2,1,50,50130,11,11680,42,42150,5,2,3,4,6,5,5,5,광주광역시,제주,2인 여행(가족 외),2022-08-19~2022-08-24,3,9,2,1
d009933,42,여,20,6,1,1,1,10,,3,,2,2,11,11500,28,28177,42,42830,4,4,4,1,4,3,7,5,강원도,제주,2인 여행(가족 외),2022-10-31~2022-11-03,3,2,7,1
d005149,41,여,20,5,1,1,4,2,,4,8,2,3,11,11680,11,11740,11,11710,2,5,1,6,2,2,5,6,경기도,제주,3인 이상 여행(가족 외),2022-10-09~2022-10-11,3,2,1,2
d009589,11,여,20,6,5,1,4,2,,2,7,3,3,42,42150,41,41360,50,50130,2,2,2,4,6,5,7,6,서울특별시,제주,2인 여행(가족 외),2022-10-29~2022-10-31,1,6,7,1
d008962,27,여,30,6,1,2,2,1,,7,11,2,1,50,50130,50,50110,11,11680,6,1,1,2,5,6,6,1,대구광역시,제주,나홀로 여행,2022-10-30~2022-11-01,2,6,1,1
d002379,11,남,40,6,1,2,3,2,,4,7,2,2,42,42150,26,26350,50,50110,4,4,2,3,4,5,6,4,서울특별시,제주,3대 동반 여행(친척 포함),2022-10-06~2022-10-09,3,7,2,4
d002063,11,여,30,6,1,1,1,3,,4,,2,3,50,50130,42,42830,41,41480,2,4,2,4,4,2,6,5,서울특별시,제주,나홀로 여행,2022-10-03~2022-10-07,4,7,1,0
d004367,41,여,30,6,1,1,2,2,,5,8,3,3,50,50130,42,42150,48,48120,2,2,1,4,6,2,7,6,경기도,제주,나홀로 여행,2022-10-11~2022-10-13,4,2,7,0
c004822,11,남,20,6,1,1,2,4,,4,5,3,8,41,41820,42,42210,50,50130,3,3,3,3,3,3,3,5,서울특별시,전남,2인 여행(가족 외),2022-10-19~2022-10-20,2,3,1,1
d010437,41,남,20,6,1,2,1,2,,5,,3,3,41,41170,41,41110,41,41460,4,2,2,4,4,4,6,6,경기도,제주,나홀로 여행,2022-11-04~2022-11-06,2,9,7,1
b009868,28,남,20,6,3,1,4,12,,2,5,2,1,50,50130,42,42790,42,42110,1,3,1,7,1,4,7,4,인천광역시,경남,2인 여행(가족 외),2022-10-26~2022-10-27,2,7,3,1
d009088,41,남,20,6,2,1,4,12,,2,7,3,2,50,50110,50,50130,11,11110,4,6,6,1,6,6,6,1,경기도,제주,나홀로 여행,2022-10-28~2022-10-30,1,7,5,0
d001364,41,여,20,7,2,1,3,3,,5,9,3,4,50,50130,42,42150,11,11680,7,1,2,2,3,3,4,5,경기도,제주,부모 동반 여행,2022-09-08~2022-09-11,1,3,2,2
d000404,30,여,50,6,1,2,4,2,,4,6,3,2,50,50130,46,46130,26,26350,5,6,6,6,6,4,5,6,대전광역시,제주,3인 이상 여행(가족 외),2022-08-25~2022-08-28,1,2,3,3
d001696,50,여,30,5,5,2,3,2,,3,6,3,2,50,50130,42,42210,26,26710,4,1,1,1,4,6,2,6,제주특별자치도,제주,자녀 동반 여행,2022-10-17~2022-10-19,1,9,7,2
d004048,50,여,20,5,1,1,2,13,,1,1,2,2,50,50130,47,47110,48,48840,2,3,4,5,3,3,6,3,제주특별자치도,제주,2인 여행(가족 외),2022-10-17~2022-10-18,2,7,3,1
d001430,11,남,50,5,4,2,2,2,,4,7,3,4,42,42210,50,50130,45,45130,1,4,1,3,1,1,4,6,서울특별시,제주,2인 가족 여행,2022-09-11~2022-09-14,3,2,1,1
b011589,48,여,40,6,1,2,3,2,,3,8,3,3,26,26350,48,48120,50,50130,5,3,3,2,4,4,3,4,경상남도,경남,자녀 동반 여행,2022-10-29~2022-10-29,1,2,7,1
d001875,26,여,20,6,1,1,4,4,,4,12,3,15,50,50110,11,11110,47,47130,6,2,2,2,6,2,7,6,부산광역시,제주,2인 여행(가족 외),2022-10-02~2022-10-04,1,2,3,1
d002844,28,여,20,6,1,1,1,3,,5,,2,2,42,42150,11,11680,50,50130,6,7,1,3,5,2,7,3,인천광역시,제주,2인 여행(가족 외),2022-10-04~2022-10-06,2,1,3,1
d000097,11,여,30,7,1,2,3,2,,4,9,3,3,50,50110,26,26350,41,41820,1,1,1,3,4,6,2,5,서울특별시,제주,3대 동반 여행(친척 포함),2022-08-21~2022-08-28,3,2,1,6
d002183,11,여,20,7,1,1,4,2,,5,12,3,4,50,50130,48,48310,30,30200,2,2,3,4,1,2,3,6,서울특별시,제주,2인 여행(가족 외),2022-10-9~2022-10-11,2,4,3,1
